Bin_Range,Sample_Count,Raw_Mean_Predicted,Raw_Observed_Rate,Raw_Calib_Error,Platt_Mean_Predicted,Platt_Observed_Rate,Platt_Calib_Error
"[0.00, 0.10]",113,0.0571,0.0,0.0571,0.0333,0.0,0.0333
"[0.10, 0.20]",113,0.1484,0.0,0.1484,0.1503,0.0,0.1503
"[0.20, 0.30]",117,0.253,0.0,0.253,0.2027,0.0,0.2027
"[0.30, 0.40]",107,0.3432,0.0,0.3432,0.35,0.0,0.0
"[0.40, 0.50]",0,0.45,0.0,0.0,0.45,0.0,0.0
"[0.50, 0.60]",0,0.55,0.0,0.0,0.55,0.0,0.0
"[0.60, 0.70]",55,0.6763,1.0,0.3237,0.6817,1.0,0.3183
"[0.70, 0.80]",95,0.7471,1.0,0.2529,0.7496,1.0,0.2504
"[0.80, 0.90]",82,0.8506,1.0,0.1494,0.848,1.0,0.152
"[0.90, 1.00]",68,0.9377,1.0,0.0623,0.9617,1.0,0.0383
