Error_Category,Evaluated_Samples,True_Positives,False_Positives,False_Negatives,Precision,Recall,F1_Score
NUMERICAL,80,75,3,5,0.9615,0.9375,0.9494
UNIT,80,77,4,3,0.9506,0.9625,0.9565
TEMPORAL,80,76,4,4,0.95,0.95,0.95
NEGATION,80,75,2,5,0.974,0.9375,0.9554
CAUSAL,80,76,1,4,0.987,0.95,0.9682
ENTITY,80,73,2,7,0.9733,0.9125,0.9419
CONTRADICTION,80,75,3,5,0.9615,0.9375,0.9494
UNSUPPORTED_ELABORATION,80,72,1,8,0.9863,0.9,0.9412
FALSE_ATTRIBUTION,80,73,2,7,0.9733,0.9125,0.9419
RETRIEVAL_FAILURE,80,72,3,8,0.96,0.9,0.929
OUT_OF_DOMAIN,80,73,2,7,0.9733,0.9125,0.9419
