bin_idx,bin_range,sample_count,mean_predicted_h,observed_hallucination_rate,calibration_error,weighted_ece_contribution
1,"[0.00, 0.10]",276,0.0387,0.4746,0.4359,0.1604
2,"[0.10, 0.20]",77,0.1427,0.4156,0.2729,0.028
3,"[0.20, 0.30]",93,0.253,0.4301,0.1771,0.022
4,"[0.30, 0.40]",146,0.3506,0.4247,0.074,0.0144
5,"[0.40, 0.50]",45,0.4462,0.5778,0.1316,0.0079
6,"[0.50, 0.60]",24,0.5473,0.7083,0.161,0.0052
7,"[0.60, 0.70]",66,0.6503,0.7576,0.1072,0.0094
8,"[0.70, 0.80]",16,0.7262,0.8125,0.0863,0.0018
9,"[0.80, 0.90]",7,0.8169,0.5714,0.2455,0.0023
10,"[0.90, 1.00]",0,0.95,0.0,0.0,0.0
